CustomerID,TotalAmountSpent,PurchaseFrequency,AOV,PreferredProduct,cluster_label
12346,104.0,1,104.0,MEDIUM CERAMIC TOP STORAGE JAR,0
12347,4164.4,7,594.9142857142857,AIRLINE BAG VINTAGE JET SET BROWN,0
12348,1464.08,4,366.02,POSTAGE,0
12349,1453.6,1,1453.6,16 PIECE CUTLERY SET PANTRY DESIGN,2
12350,312.4,1,312.4,4 TRADITIONAL SPINNING TOPS,0
12352,1565.74,8,195.7175,POSTAGE,0
12353,89.0,1,89.0,CERAMIC CAKE BOWL + HANGING CAKES,0
12354,1079.4,1,1079.4,3 TIER CAKE TIN GREEN AND CREAM,2
12355,459.4,1,459.4,DOUGHNUT LIP GLOSS ,0
12356,2794.63,3,931.5433333333334,RED RETROSPOT CAKE STAND,2
12357,6200.67,1,6200.67,200 BENDY SKULL STRAWS,2
12358,1036.06,2,518.03,CERAMIC STRAWBERRY DESIGN MUG,0
12359,5254.7300000000005,4,1313.6825000000001,REGENCY CAKESTAND 3 TIER,2
12360,2464.06,3,821.3533333333334,DOLLY GIRL BABY GIFT SET,2
12361,189.9,1,189.9,CIRCUS PARADE LUNCH BOX ,0
12362,5204.01,10,520.4010000000001,POSTAGE,0
12363,552.0,2,276.0,36 DOILIES VINTAGE CHRISTMAS,0
12364,1284.3,4,321.075,POSTAGE,0
12365,338.69,2,169.345,ANT WHITE WIRE HEART SPIRAL,0
12367,168.9,1,168.9,CIRCUS PARADE LUNCH BOX ,0
12370,3400.73,4,850.1825,FELTCRAFT CUSHION OWL,2
12371,1689.96,2,844.98,3 GARDENIA MORRIS BOXED CANDLES,2
12372,1298.04,3,432.68,DOLLY GIRL LUNCH BOX,0
12373,342.6,1,342.6,CHARLOTTE BAG PINK POLKADOT,0
12374,676.9300000000001,1,676.9300000000001,36 FOIL HEART CAKE CASES,0
12375,413.5,2,206.75,JUMBO BAG PEARS,0
12377,1584.12,2,792.06,MINI JIGSAW CIRCUS PARADE ,0
12378,3969.14,1,3969.14,12 COLOURED PARTY BALLOONS,2
12379,852.24,2,426.12,POSTAGE,0
12380,2683.11,4,670.7775,POSTAGE,0
12381,1647.31,5,329.462,POSTAGE,0
12383,1841.72,5,368.344,POSTAGE,0
12384,497.27000000000004,2,248.63500000000002,POSTAGE,0
12386,394.7,2,197.35,20 DOLLY PEGS RETROSPOT,0
12388,2780.66,6,463.4433333333333,PARTY BUNTING,0
12390,549.84,1,549.84, SPACEBOY BABY GIFT SET,0
12391,460.89,1,460.89,SET OF 10 LANTERNS FAIRY LIGHT STAR,0
12393,1582.6000000000001,4,395.65000000000003,LUNCH BAG WOODLAND,0
12394,997.92,2,498.96,POSTAGE,0
12395,2971.48,12,247.62333333333333,POSTAGE,0
12397,2409.9,2,1204.95,ALARM CLOCK BAKELIKE GREEN,2
12398,1525.66,1,1525.66,12 PENCILS SMALL TUBE SKULL,2
12399,1103.45,4,275.8625,POSTAGE,0
12401,84.3,1,84.3,CHERRY BLOSSOM DECORATIVE FLASK,0
12402,225.6,1,225.6,DOLLY GIRL LUNCH BOX,0
12403,427.7,1,427.7,CHILDRENS CUTLERY POLKADOT BLUE,0
12405,1534.39,1,1534.39,12 PENCILS TALL TUBE WOODLAND,2
12406,3415.3,2,1707.65,3 PIECE SPACEBOY COOKIE CUTTER SET,2
12407,1654.76,5,330.952,POSTAGE,0
12408,2891.91,5,578.382,POSTAGE,0
12409,10986.75,3,3662.25,SPOTTY BUNTING,2
12410,605.33,2,302.665,5 HOOK HANGER MAGIC TOADSTOOL,0
12412,1226.88,3,408.96000000000004,POSTAGE,0
12413,746.15,3,248.71666666666667,JUMBO BAG RED RETROSPOT,0
12414,496.41,3,165.47,POSTAGE,0
12415,93208.17,21,4438.484285714286,DOLLY GIRL LUNCH BOX,2
12417,3605.2,9,400.5777777777778,POSTAGE,0
12418,668.58,1,668.58,ASSORTED BOTTLE TOP  MAGNETS ,0
12420,607.11,1,607.11,ASSORTED COLOUR MINI CASES,0
12421,747.04,4,186.76,POSTAGE,0
12422,737.5600000000001,3,245.85333333333335,ALPHABET HEARTS STICKER SHEET,0
12423,1859.31,8,232.41375,POSTAGE,0
12424,1714.3200000000002,2,857.1600000000001,BAKING SET 9 PIECE RETROSPOT ,2
12425,777.2,1,777.2,ASS FLORAL PRINT MULTI SCREWDRIVER,0
12426,584.98,1,584.98,APPLE BATH SPONGE,0
12427,786.32,3,262.1066666666667,POSTAGE,0
12428,6894.62,9,766.0688888888889,POSTAGE,0
12429,3722.0,4,930.5,ALARM CLOCK BAKELIKE GREEN,2
12430,234.4,1,234.4,3 PIECE SPACEBOY COOKIE CUTTER SET,0
12431,5728.61,15,381.9073333333333,ALARM CLOCK BAKELIKE GREEN,0
12432,4215.52,5,843.104,AIRLINE BAG VINTAGE TOKYO 78,2
12433,13124.23,7,1874.8899999999999,HOT WATER BOTTLE TEA AND SYMPATHY,2
12434,806.14,2,403.07,ASSORTED COLOUR MINI CASES,0
12435,7542.450000000001,2,3771.2250000000004,GUMBALL COAT RACK,2
12436,465.01000000000005,1,465.01000000000005,3 TRADITIONAl BISCUIT CUTTERS  SET,0
12437,4938.41,18,274.3561111111111,POSTAGE,0
12438,2671.09,2,1335.545,BLUE HARMONICA IN BOX ,2
12441,173.55,1,173.55,BLUE SCANDINAVIAN PAISLEY WRAP,0
12442,162.06,1,162.06,MULTICOLOUR HONEYCOMB FAN,0
12444,4457.76,5,891.552,BLACK KITCHEN SCALES,2
12445,113.4,1,113.4,3 ROSE MORRIS BOXED CANDLES,0
12446,1002.3100000000001,1,1002.3100000000001,4 TRADITIONAL SPINNING TOPS,2
12447,476.49,1,476.49,ASSORTED COLOUR MINI CASES,0
12448,372.45,1,372.45,20 DOLLY PEGS RETROSPOT,0
12449,4067.53,4,1016.8825,POSTAGE,2
12450,197.88,2,98.94,LUNCH BAG DOILEY PATTERN ,0
